Surface Area,Response,Time,Concentration
40.4,101.0178,4,5
6,103.904,4,5
4.6,105.0749,4,5
4.4,113.7357,4,5
40.4,103.6135,4,5
6,110.6078,4,5
4.6,108.6531,4,5
4.4,93.92316,4,5
40.4,106.8431,4,5
6,109.5347,4,5
4.6,109.0321,4,5
4.4,117.0436,4,5
40.4,91.71916,4,25
6,94.91896,4,25
4.6,112.4164,4,25
4.4,113.2468,4,25
40.4,90.80173,4,25
6,102.022,4,25
4.6,121.0308,4,25
4.4,114.4621,4,25
40.4,90.01065,4,25
6,91.45838,4,25
4.6,121.389,4,25
4.4,118.9565,4,25
40.4,108.4165,24,5
6,107.1189,24,5
4.6,100.7344,24,5
4.4,100.1151,24,5
40.4,93.80032,24,5
6,93.07838,24,5
4.6,92.01803,24,5
4.4,88.79162,24,5
40.4,84.50907,24,5
6,83.87235,24,5
4.6,92.75606,24,5
4.4,97.12378,24,5
40.4,54.28,24,25
6,85.56,24,25
4.6,109.81,24,25
4.4,47.56,24,25
40.4,52.24,24,25
6,68.57,24,25
4.6,102.29,24,25
4.4,87.26,24,25
40.4,97.43,24,25
6,90.39,24,25
4.6,93.02,24,25
4.4,107.91,24,25
40.4,46.05841,72,5
6,52.74871,72,5
4.6,86.13065,72,5
4.4,76.6781,72,5
40.4,66.50249,72,5
6,86.97668,72,5
4.6,115.5347,72,5
4.4,82.17887,72,5
40.4,87.13394,72,5
6,100.2047,72,5
4.6,87.74203,72,5
4.4,97.65111,72,5
40.4,54.28,72,25
6,85.56,72,25
4.6,109.81,72,25
4.4,47.56,72,25
40.4,52.24,72,25
6,68.57,72,25
4.6,102.29,72,25
4.4,87.26,72,25
40.4,97.43,72,25
6,90.39,72,25
4.6,93.02,72,25
4.4,107.91,72,25
