Surface Area,Time,Concentration,Response
1.25664E-15,4,0.25,0.64
1.25664E-15,4,0.25,0.236967
1.25664E-15,4,0.25,0.291133
1.25664E-15,4,0.25,0.022415
1.25664E-15,4,0.25,0.04935406
1.25664E-15,4,25,0.51
1.25664E-15,4,25,0.231133
1.25664E-15,4,25,0.328867
1.25664E-15,4,25,0.017422
1.25664E-15,4,25,0.01585024
7.85398E-15,4,0.25,0.66
7.85398E-15,4,0.25,0.2204
7.85398E-15,4,0.25,0.288367
7.85398E-15,4,0.25,0.02941564
7.85398E-15,4,0.25,0.04935406
7.85398E-15,4,25,0.63
7.85398E-15,4,25,0.195967
7.85398E-15,4,25,0.328867
7.85398E-15,4,25,0.01050254
7.85398E-15,4,25,0.01585024
3.47435E-13,4,0.25,0.53
3.47435E-13,4,0.25,0.201767
3.47435E-13,4,0.25,0.287033
3.47435E-13,4,0.25,0.007425
3.47435E-13,4,0.25,0.01809337
3.47435E-13,4,25,0.71
3.47435E-13,4,25,0.2413
3.47435E-13,4,25,0.3129
3.47435E-13,4,25,0.01889
3.47435E-13,4,25,0.01829617
1.25664E-15,24,0.25,0.7234
1.25664E-15,24,0.25,0.337333
1.25664E-15,24,0.25,0.502967
1.25664E-15,24,0.25,0.5077
1.25664E-15,24,0.25,0.5133
1.25664E-15,24,25,0.63
1.25664E-15,24,25,0.379667
1.25664E-15,24,25,0.4384
1.25664E-15,24,25,0.556433
1.25664E-15,24,25,0.568233
7.85398E-15,24,0.25,0.5563
7.85398E-15,24,0.25,0.293867
7.85398E-15,24,0.25,0.3943
7.85398E-15,24,0.25,0.5561
7.85398E-15,24,0.25,0.538767
7.85398E-15,24,25,0.91
7.85398E-15,24,25,0.310067
7.85398E-15,24,25,0.4421
7.85398E-15,24,25,0.530667
7.85398E-15,24,25,0.5938
3.47435E-13,24,0.25,0.620233
3.47435E-13,24,0.25,0.336733
3.47435E-13,24,0.25,0.425833
3.47435E-13,24,0.25,0.498633
3.47435E-13,24,0.25,0.5081
3.47435E-13,24,25,0.63
3.47435E-13,24,25,0.31
3.47435E-13,24,25,0.436633
3.47435E-13,24,25,0.532567
3.47435E-13,24,25,0.540533
1.25664E-15,72,0.25,0.34
1.25664E-15,72,0.25,0.533833
1.25664E-15,72,0.25,0.5777
1.25664E-15,72,0.25,0.8389667
1.25664E-15,72,0.25,0.676533
1.25664E-15,72,25,0.2
1.25664E-15,72,25,0.292533
1.25664E-15,72,25,0.248233
1.25664E-15,72,25,0.8532333
1.25664E-15,72,25,0.718833
7.85398E-15,72,0.25,0.36
7.85398E-15,72,0.25,0.422467
7.85398E-15,72,0.25,0.507833
7.85398E-15,72,0.25,0.912933
7.85398E-15,72,0.25,0.780467
7.85398E-15,72,25,0.35
7.85398E-15,72,25,0.4544
7.85398E-15,72,25,0.490333
7.85398E-15,72,25,0.923067
7.85398E-15,72,25,0.6833
3.47435E-13,72,0.25,0.33
3.47435E-13,72,0.25,0.455467
3.47435E-13,72,0.25,0.4991
3.47435E-13,72,0.25,0.909467
3.47435E-13,72,0.25,0.784667
3.47435E-13,72,25,0.44
3.47435E-13,72,25,0.376633
3.47435E-13,72,25,0.5626
3.47435E-13,72,25,0.8494
3.47435E-13,72,25,0.6768
